Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;,2 to 5 years,Childcare;Dislike of previous job;,Timing not right;Lack of care provision;Lack in confidence;I was exhausted and not ready after maternity;,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Following my ambition;Fulfilment;Being a positive role model;",Volunteering;Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,5-10 years,White Scottish,EH7
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;My stress levels have increased ;I am more confident in my skills/the work I do;,6 months to 2 years,Maternity Leave;,Timing not right;Lack of care provision;Lack of support (family/network) ;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Fulfilment;Contributing to society;Making change for future generations;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;LGBTQIA+;,1 child,No,22 to 29 years,Master's dregree or equivalent,5-10 years,White Scottish,G51 1QL
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I changed career;I am more confident in my skills/the work I do;My stress levels have decreased ;,6 months to 2 years,Burn-out;Relocation;Covid lockdowns;,Timing not right;Lack of support (family/network) ;Lack of jobs (local area);Career switch (unsure what);Unsuccessful applications;I feel having been self employed is a barrier to getting paye employment ;,"No, only one break of 6 months or more",,,,Financial independence;Independence from other people's decisions;Fulfilment;Giving my personal best;,(Re)Training;Studying - full-time or part-time;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,nice to have,"Perimenopausal or Menopausal;ADHD, autism or other neurodivergence ;Experience of trauma;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);",No child,,50 to 59 years,Secondary/high school education ,Over 20 years,White Other British,EH11 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I changed career;,more than 5 years,Childcare;,Lack of affordable care;Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Lack of confidence in skills/experience;Unsuccessful applications;,"No, only one break of 6 months or more",,,,Financial independence;Following my ambition;Giving my personal best;Contributing to society;Independence from other people's decisions;,Self employed ;,very helpful,very helpful,very helpful,Motherhood;Older woman (55+);Perimenopausal or Menopausal;,2 children,No,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,DG8
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;Stress levels about work decreased but stress about finances increased ;,6 months to 2 years,Other Caring Responsibilities;Burn-out;,Lack of affordable care;Lack of support (family/network) ;Health issues (unable to work) ;Lack of jobs (salary/experience);Lack of flexible jobs;Lack in confidence;Career switch (can’t afford);Health issue (lack of support);,"Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Financial independence;Fulfilment;Contributing to society;,Stay-at-home parent;Completed some courses to improve confidence to re-enter workplace;,very helpful,very helpful,very helpful,"Motherhood;Caring for a child with additional support needs (of any age);Lone parent;Mental health issues;ADHD, autism or other neurodivergence ;Minority ethnic woman;Experience of trauma;",2 children,Yes,30 to 39 years,Master's dregree or equivalent,10-15 years,Any mixed or multiple ethnic groups,EH4
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;,2 to 5 years,Childcare;,Lack of affordable care;Lack of care provision;Lack of support (family/network) ;Lack of flexible jobs;Lack in confidence;,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Following my ambition;Financial independence;Contributing to my savings/retirement;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Lone parent;,2 children,No,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Other British,EH7
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I changed career;I am earning less;I have a better (work)life balance;,6 months to 2 years,Redundancy;,"Lack of jobs (local area);Lack of jobs (salary/experience);Lack of jobs (with progression);Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);I tried applying for work in my field. In other industries. In other locations. I applied for lower ranked work. I applied for unskilled work. Eventually a recruiter mistook me for an accountant with the same name. When challenged, he said he’d not offered me the opportunity to interview for the job because my qualifications were out of date and my experience no longer relevant. For a well engineering job I’d extensive prior experience in. But an accountant was ok. I was also told I couldn’t possibly have done certain roles - as a manager, I’d have ‘people do that for me’. I’d done the jobs. Trained my staff. But it was dismissed! ;","No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;",Studying - full-time or part-time;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,N/A,nice to have,Motherhood;Lone parent;Older woman (55+);,1 child,No,50 to 59 years,Master's dregree or equivalent,Over 20 years,White Scottish,AB15
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning more;My stress levels have increased ;I am more confident in my skills/the work I do;I am now self-employed ;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Discrimination (age/gender/ethnicity);,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;,2 children,No,30 to 39 years,Master's dregree or equivalent,15-20 years,White Other British,G20
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am now self-employed ;I am less confident in my skills/ the work I do;,6 months to 2 years,Relocation;,Not knowing where to start;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Fulfilment;Giving my personal best;Making change for future generations;Contributing to society;,Volunteering;(Re)Training;,N/A,very helpful,N/A,Motherhood;Older woman (55+);,No child,,50 to 59 years,Master's dregree or equivalent,Over 20 years,Irish,EH7 4AN
Yes,Yes,onbreak,2 to 5 years,Redundancy;,Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Not knowing where to start;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Contributing to my savings/retirement;Giving my personal best;,(Re)Training;None of the activities mentioned.;,no need for this,very helpful,no need for this,None;,No child,,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,EH4
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I changed career;,more than 5 years,Childcare;,Lack of support (family/network) ;,"No, only one break of 6 months or more",,,,"Being a positive role model;Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;",Stay-at-home parent;,very helpful,nice to have,no need for this,Motherhood;Caring for an adult relative;Perimenopausal or Menopausal;Mental health issues;,No child,,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,ML1
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;I have a better (work)life balance;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;","Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Contributing to my savings/retirement;Financial independence;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;",(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,Ph1 
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;I am earning less;,more than 5 years,Health reasons/disability/recovery;,Health issues (unable to work) ;Health issue (lack of support);Lack of jobs (local area);Lack of flexible jobs;Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Career switch (unsure what);Not knowing where to start;Unsuccessful applications;Discrimination (age/gender/ethnicity);Discrimination (career gap);Lack of jobs offering the flexibility I needed to manage my health well;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Making change for future generations;Contributing to society;Fulfilment;,Volunteering;,N/A,very helpful,very helpful,Disabled or chronic health condition;,No child,,40 to 49 years,Bachelor's degree or equivalent,Over 20 years,White Other British,KY1
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",My stress levels have increased ;I am earning less;I am now working below my former career level;I am now working below my potential/skills;,6 months to 2 years,Maternity Leave;Childcare;,Lack of care provision;Lack of jobs (salary/experience);Lack of jobs (local area);Lack of flexible jobs;Lack of jobs (with progression);Lack in confidence;Unsuccessful applications;,"No, only one break of 6 months or more",,,,Fulfilment;Being a positive role model;Contributing to society;Earning money to provide for myself/my family;Giving my personal best;,Stay-at-home parent;Unpaid caring responsibility (other than your own children);,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;,2 children,Yes,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Other British,EH39 5QA 
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",My stress levels have increased ;I am earning less as cost of living gone up but pay hasn’t ;,6 months to 2 years,Maternity Leave;,Timing not right;Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Health issues (unable to work) ;Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Career switch (can’t afford);Unsuccessful applications;Discrimination (age/gender/ethnicity);,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Being a positive role model;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;,2 children,No,30 to 39 years,Master's dregree or equivalent,15-20 years,White Scottish,Eh41 3tj
Yes,Yes,onbreak,more than 5 years,Childcare;Other Caring Responsibilities;,Lack of support (family/network);Lack of jobs (local area);Lack of flexible jobs;Lack of confidence in skills/experience;Lack in confidence;,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Financial independence;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;",Volunteering;Stay-at-home parent;,very helpful,very helpful,no need for this,Motherhood;Lone parent;Perimenopausal or Menopausal;,4 or more children,No,40 to 49 years,Bachelor's degree or equivalent,5-10 years,White Scottish,EH46
Yes,Yes,onbreak,more than 5 years,Childcare;Maternity leave;,Timing not right;Career switch (unsure what);,Within six months,,,,,,"No, only one break of 6 months or more",,,,Meeting family expectations;Earning money to provide for myself/my family;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",15-20 years,White Scottish,Eh20 9GA 
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am earning less;,6 months to 2 years,Maternity Leave;,Lack of market insight;Career switch (can’t afford);,"Yes, three or more separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;Contributing to my savings/retirement;Making change for future generations;Being a positive role model;Contributing to society;,Volunteering;Stay-at-home parent;,very helpful,not sure,very helpful,Motherhood;Older woman (55+);Perimenopausal or Menopausal;,No child,,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,Ph1
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;Other Caring Responsibilities;,Lack of care provision;,Once kids are at nursery ,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Fulfilment;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);,2 children,Yes,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",10-15 years,White Scottish,G699fl
Yes,Yes,onbreak,2 to 5 years,Burn-out;,Health issue (lack of support);Lack of market insight;Lack in confidence;Career switch (unsure what);Unsuccessful applications;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Financial independence;Giving my personal best;Meeting family expectations;Being a positive role model;,(Re)Training;Volunteering;,N/A,no need for this,nice to have,"ADHD, autism or other neurodivergence ;Mental health issues;",No child,,30 to 39 years,Master's dregree or equivalent,10-15 years,Polish,eh49
Yes,Yes,onbreak,2 to 5 years,Childcare;,Lack of support (family/network);Lack of flexible jobs;Lack of jobs (with progression);Lack of confidence in skills/experience;Career switch (can’t afford);Unsuccessful applications;,Immediately,,,,,,"Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;,Volunteering;Stay-at-home parent;,no need for this,very helpful,very helpful,Motherhood;Lone parent;,Prefer not to say,,Prefer not to say,Bachelor's degree or equivalent,Prefer not to say,Prefer not to say,Eh20
Yes,Yes,onbreak,more than 5 years,Childcare;Maternity leave;,Lack of care provision;Lack of support (family/network);Not knowing where to start;Unsuccessful applications;Discrimination (career gap);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;,Studying - full-time or part-time;Stay-at-home parent;,nice to have,very helpful,nice to have,Motherhood;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,10-15 years,Any other White ethnic group,Eh26 8en
Yes,Yes,onbreak,2 to 5 years,Childcare;,Lack of affordable care;Lack of support (family/network);Lack of jobs (local area);Lack of flexible jobs;Lack of confidence in skills/experience;Lack in confidence;Unsuccessful applications;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Fulfilment;Giving my personal best;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,5-10 years,Any other White ethnic group,EH5 2HQ
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;,6 months to 2 years,Maternity Leave;Childcare;,Lack of affordable care;Lack of flexible jobs;,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Independence from other people's decisions;",Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Lone parent;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Eh22
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My stress levels have increased ;I am less confident in my skills/ the work I do;I am now working below my potential/skills;,6 months to 2 years,Maternity Leave;,Career switch (unsure what);Career switch (can’t afford);Lack of confidence in skills/experience;Lack of flexible jobs;Lack of jobs (with progression);Sidelined by employer for wanting pt work;,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,Earning money to provide for myself/my family;,Stay-at-home parent;,very helpful,very helpful,nice to have,"Motherhood;Perimenopausal or Menopausal;Mental health issues;ADHD, autism or other neurodivergence ;",2 children,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Td2 
Yes,Yes,onbreak,2 to 5 years,Maternity leave;Childcare;Redundancy;Supporting partner's career;,Timing not right;Lack of support (family/network);Career switch (can’t afford);Lack of flexible jobs;,In about a year,,,,,,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Being a positive role model;Financial independence;Contributing to society;Fulfilment;,Studying - full-time or part-time;(Re)Training;Volunteering;Stay-at-home parent;,very helpful,very helpful,N/A,Motherhood;Mental health issues;,2 children,No,40 to 49 years,Doctoral (PhD) or equivalent,Over 20 years,White Other British,Eh14
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I changed career;I am now working below my potential/skills;I am less confident in my skills/ the work I do;,2 to 5 years,Maternity Leave;Childcare;Other Caring Responsibilities;Supporting partner's career;,Lack of care provision;Lack of affordable care;Lack of flexible jobs;Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Unsuccessful applications;Not knowing where to start;Discrimination (age/gender/ethnicity);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Fulfilment;Independence from other people's decisions;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Lone parent;Perimenopausal or Menopausal;,2 children,Yes,40 to 49 years,Master's dregree or equivalent,10-15 years,White Other British,eh28
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,Timing not right;,Within six months,,,,,,"Yes, two separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,Not sure,Earning money to provide for myself/my family;,Maternity leave ;,very helpful,very helpful,not sure,Motherhood;,2 children,No,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",10-15 years,Any other White ethnic group,Eh54 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my former career level;I changed career;I have a better (work)life balance;,more than 5 years,Childcare;Relocation;,Timing not right;Lack of care provision;Lack of affordable care;Lack of jobs (local area);Lack of market insight;Relocation (struggle with culture/market);Language barrier;Lack of confidence in skills/experience;Lack in confidence;Not knowing where to start;Unsuccessful applications;Discrimination (age/gender/ethnicity);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,Earning money to provide for myself/my family;Financial independence;Independence from other people's decisions;Following my ambition;Following my dreams;,Studying - full-time or part-time;(Re)Training;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,nice to have,nice to have,Motherhood;Perimenopausal or Menopausal;Minority ethnic woman;Experience of trauma;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,2 children,No,40 to 49 years,Master's dregree or equivalent,Up to 5 years,White Other British,Eh7
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",My career progressed/ developed after my break;I am working more hours than before;I am now self-employed ;I am earning more;I have a better (work)life balance;I am more confident in my skills/the work I do;,6 months to 2 years,Health reasons/disability/recovery;,Health issues (unable to work) ;Health issue (lack of support);Unsuccessful applications;,"Yes, two separate breaks of at least 6 months each",Less than 2 years,Same or related reasons,Yes – later break(s) had a more significant and mostly positive impact,Earning money to provide for myself/my family;Independence from other people's decisions;Following my ambition;Following my dreams;Fulfilment;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,no need for this,no need for this,no need for this,Lone parent;Perimenopausal or Menopausal;Disabled or chronic health condition;,1 child,No,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Other British,KA
Yes,Yes,onbreak,2 to 5 years,"Initially a break to discover what I might like to do, then along came covid, and a second child… ;","Lack of jobs (salary/experience);Lack of flexible jobs;Lack of jobs (with progression);Unsuccessful applications;I’ve had an interview for every role I’ve applied for, which is promising, tho not been successful as yet with one telling me (for a 400 hour a year society sec role) that they didn’t think I’d manage it with two kids 😱🙄;Discrimination (age/gender/ethnicity);",Within the next three months,,,,,,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,The different breaks had different impacts which are not related,Earning money to provide for myself/my family;Contributing to my savings/retirement;Giving my personal best;Making change for future generations;Contributing to society;,(Re)Training;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Run a holiday cottage which wasn’t in the plan but may change back to long term letting as the new stl license comes in;,no need for this,nice to have,no need for this,Motherhood;,2 children,No,30 to 39 years,Secondary/high school education ,15-20 years,White Scottish,Eh46
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work","Nothing has changed, I picked up after my break where I had left;I am earning more;",2 to 5 years,Tried a different career for a while which didn’t work out;,Lack of jobs (salary/experience);Unsuccessful applications;Discrimination (career gap);,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Financial independence;,Studying - full-time or part-time;(Re)Training;,not sure,very helpful,very helpful,Perimenopausal or Menopausal;,No child,,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Scottish,G63
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Other Caring Responsibilities;,"No obstacles, not seeking to return;",In about a year,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Following my ambition;Giving my personal best;Contributing to society;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Disabled or chronic health condition;Experience of trauma;,1 child,No,30 to 39 years,Master's dregree or equivalent,15-20 years,White Scottish,EH5 
Yes,Yes,working,,,,,"I am self-employed, working more than 30h/week",My career progressed/ developed after my break;I changed career;I am working more hours than before;I am now self-employed ;I am earning more;I am more confident in my skills/the work I do;,6 months to 2 years,Sabbatical (unpaid);,Unsuccessful applications;,"No, only one break of 6 months or more",,,,Financial independence;Following my ambition;Giving my personal best;Making change for future generations;Contributing to society;,Studying - full-time or part-time;(Re)Training;,no need for this,no need for this,nice to have,LGBTQIA+;,No child,,50 to 59 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,G20
Yes,Yes,working,,,,,Working part time and self employed,"I picked up where I left off, only because I worked in charity sector with short term funded projects. ;",2 to 5 years,"Burn-out;Travelling;Volunteering, life experience/ education, spend more time with family living in New Zealand ;",Career switch (can’t afford);Career switch (unsure what);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Following my dreams;Independence from other people's decisions;Contributing to my savings/retirement;","Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Gaining life experience, social skills, travelling to dream destinations;",no need for this,no need for this,nice to have,Minority ethnic woman;Mental health issues;Addictive tendancies to work;,No child,,40 to 49 years,Master's dregree or equivalent,10-15 years,"Chinese, Chinese Scottish or Chinese British",ML118NA
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;Health reasons/disability/recovery;,Lack of affordable care;Lack of care provision;,In about a year,,,,,,"Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Fulfilment;Making change for future generations;Contributing to my savings/retirement;",Stay-at-home parent;,very helpful,very helpful,no need for this,Motherhood;Disabled or chronic health condition;,3 children,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Eh12 8 ja 
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;Other Caring Responsibilities;,Lack of jobs (salary/experience);Lack of flexible jobs;Lack in confidence;Career switch (can’t afford);Career switch (unsure what);,Within six months,,,,,,"Yes, three or more separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,The different breaks had different impacts which are not related,Financial independence;Earning money to provide for myself/my family;Contributing to my savings/retirement;Independence from other people's decisions;Fulfilment;,Stay-at-home parent;Unpaid caring responsibility (other than your own children);,very helpful,very helpful,very helpful,Motherhood;Caring for an adult relative;,3 children,No,30 to 39 years,Master's dregree or equivalent,15-20 years,White Scottish,Dd6
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I have a better (work)life balance;I am now working below my former career level;,more than 5 years,Childcare;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Lack of jobs (local area);Language barrier;Career switch (unsure what);,"No, only one break of 6 months or more",,,,Financial independence;Independence from other people's decisions;Following my ambition;Fulfilment;Being a positive role model;,Studying - full-time or part-time;Volunteering;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Minority ethnic woman;,2 children,No,30 to 39 years,Master's dregree or equivalent,5-10 years,Polish,KY112AL
Yes,Yes,onbreak,more than 5 years,Health reasons/disability/recovery;Burn-out;Childcare;,Timing not right;Lack of support (family/network);Health issues (unable to work);Discrimination (career gap);Unsuccessful applications;Not knowing where to start;Career switch (unsure what);Lack of confidence in skills/experience;Lack of care provision;,Within six months,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;",(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;Minority ethnic woman;,1 child,No,40 to 49 years,Master's dregree or equivalent,15-20 years,Any mixed or multiple ethnic groups,EH11
Yes,Yes,onbreak,2 to 5 years,Relocation;Childcare;Travelling;,Lack of affordable care;Lack of support (family/network);Lack of flexible jobs;Lack of confidence in skills/experience;Career switch (can’t afford);Career switch (unsure what);Not knowing where to start;,Within the next three months,,,,,,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Being a positive role model;Fulfilment;Contributing to society;,Stay-at-home parent;,very helpful,very helpful,very helpful,"Motherhood;Caring for a child with additional support needs (of any age);ADHD, autism or other neurodivergence ;",2 children,Yes,30 to 39 years,Secondary/high school education ,10-15 years,White Scottish,EH48
